name,ft_active,ft_seq,ft_vert,ft_seq_index,ft_vert_index,ft_order,pt_active,pt_seq,pt_vert,pt_seq_index,pt_vert_index,pt_order,tag,file
Code of Conduct during the bootcamp,TRUE,Tips & tricks for success,Info tabs,0,0,0,TRUE,Tips & tricks for success,Info tabs,0,0,0,EXTRA,info/code-of-conduct.md
Link to  the GitHub class organization,TRUE,Tips & tricks for success,Info tabs,0,0,1,TRUE,Tips & tricks for success,Info tabs,0,0,1,EXTRA,info/gh-class-rg.m
Guidelines on how to submit the labs,TRUE,Tips & tricks for success,Info tabs,0,0,2,TRUE,Tips & tricks for success,Info tabs,0,0,2,EXTRA,info/guidelines-labs.md
No class dates,TRUE,Tips & tricks for success,Info tabs,0,0,3,TRUE,Tips & tricks for success,Info tabs,0,0,3,EXTRA,info/no-class-dates.md
Contacts,TRUE,Tips & tricks for success,Info tabs,0,0,4,TRUE,Tips & tricks for success,Info tabs,0,0,4,EXTRA,info/contacts.md
Career Services,TRUE,Tips & tricks for success,Info tabs,0,0,5,TRUE,Tips & tricks for success,Info tabs,0,0,5,EXTRA,info/career.md
Technical interview prep,TRUE,Tips & tricks for success,Info tabs,0,0,6,TRUE,Tips & tricks for success,Info tabs,0,0,6,EXTRA,other/tech-interviews.md
Upcoming events,TRUE,Tips & tricks for success,Info tabs,0,0,7,TRUE,Tips & tricks for success,Info tabs,0,0,7,EXTRA,info/events.md
Time distribution,TRUE,Tips & tricks for success,Module 1,0,1,0,FALSE,,,,,,EXTRA,info/ft-time-dist-m1.md
Time distribution,FALSE,,,,,,TRUE,Tips & tricks for success,Module 1,0,1,0,EXTRA,info/pt-time-dist-m1.md
Module 1 - topics - overview,TRUE,Tips & tricks for success,Module 1,0,1,1,TRUE,Tips & tricks for success,Module 1,0,1,1,EXTRA,info/topics-m1.md
Expectations,TRUE,Tips & tricks for success,Module 1,0,1,2,TRUE,Tips & tricks for success,Module 1,0,1,2,EXTRA,info/expectations.md
Requirements for win-win,TRUE,Tips & tricks for success,Module 1,0,1,3,TRUE,Tips & tricks for success,Module 1,0,1,3,EXTRA,info/requirements-m1.md
Time distribution,TRUE,Tips & tricks for success,Module 2,0,2,0,FALSE,,,,,,EXTRA,info/ft-time-dist-m2.md
Time distribution,FALSE,,,,,,TRUE,Tips & tricks for success,Module 2,0,2,0,EXTRA,info/pt-time-dist-m2.md
Module 2 - topics - overview,TRUE,Tips & tricks for success,Module 2,0,2,1,TRUE,Tips & tricks for success,Module 2,0,2,1,EXTRA,info/topics-m2.md
Expectations,TRUE,Tips & tricks for success,Module 2,0,2,2,TRUE,Tips & tricks for success,Module 2,0,2,2,EXTRA,info/expectations.md
Requirements for win-win,TRUE,Tips & tricks for success,Module 2,0,2,3,TRUE,Tips & tricks for success,Module 2,0,2,3,EXTRA,info/requirements-m2.md
Time distribution,TRUE,Tips & tricks for success,Module 3,0,3,0,FALSE,,,,,,EXTRA,info/ft-time-dist-m3.md
Time distribution,FALSE,,,,,,TRUE,Tips & tricks for success,Module 3,0,3,0,EXTRA,info/pt-time-dist-m3.md
Module 3 - topics - overview,TRUE,Tips & tricks for success,Module 3,0,3,1,TRUE,Tips & tricks for success,Module 3,0,3,1,EXTRA,info/topics-m3.md
Expectations,TRUE,Tips & tricks for success,Module 3,0,3,2,TRUE,Tips & tricks for success,Module 3,0,3,2,EXTRA,info/expectations.md
Requirements for win-win,TRUE,Tips & tricks for success,Module 3,0,3,3,TRUE,Tips & tricks for success,Module 3,0,3,3,EXTRA,info/requirements-m3.md
JS | JavaScript Intro,TRUE,Week 1,Day 1,1,0,0,TRUE,Week 1,Halfday 1,1,0,0,,module-1/week-1/js-intro.md
JS | Data Types in JavaScript - number & string,TRUE,Week 1,Day 1,1,0,1,TRUE,Week 1,Halfday 1,1,0,1,,module-1/week-1/js-datatypes-1.md
