name,active,seq,vert,seq_index,vert_index,order,tag,file,deliverable_display_name,deliverable_identifier,deliverable_description,deliverable_duedate
Code of Conduct during the bootcamp,FALSE,Tips & tricks for success,Info tabs,0,0,0,EXTRA,info/code-of-conduct.md,,,,
Link to  the GitHub class organization,TRUE,Tips & tricks for success,Info tabs,0,0,1,EXTRA,info/gh-class-rg.m,,,,
Guidelines on how to submit the labs,TRUE,Tips & tricks for success,Info tabs,0,0,2,EXTRA,info/guidelines-labs.md,,,,
No class dates,TRUE,Tips & tricks for success,Info tabs,0,0,3,EXTRA,info/no-class-dates.md,,,,
Contactss,TRUE,Tips & tricks for success,Info tabs,0,0,4,EXTRA,info/contacts.md,,,,
Career Services,FALSE,Tips & tricks for success,Info tabs,0,0,5,EXTRA,info/career.md,,,,
Technical interview prep,TRUE,Tips & tricks for success,Info tabs,0,0,6,EXTRA,other/tech-interviews.md,,,,
Upcoming events,FALSE,Tips & tricks for success,Info tabs,0,0,7,EXTRA,info/events.md,,,,
Time distribution,TRUE,Tips & tricks for success,Module 1,0,1,0,EXTRA,info/pt-time-dist-m1.md,,,,
Module 1 - topics - overview,TRUE,Tips & tricks for success,Module 1,0,1,1,EXTRA,info/topics-m1.md,,,,
Expectations,TRUE,Tips & tricks for success,Module 1,0,1,2,EXTRA,info/expectations.md,,,,
Requirements for win-win,TRUE,Tips & tricks for success,Module 1,0,1,3,EXTRA,info/requirements-m1.md,,,,
Time distribution,TRUE,Tips & tricks for success,Module 2,0,2,0,EXTRA,info/pt-time-dist-m2.md,,,,
Module 2 - topics - overview,TRUE,Tips & tricks for success,Module 2,0,2,1,EXTRA,info/topics-m2.md,,,,
Expectations,TRUE,Tips & tricks for success,Module 2,0,2,2,EXTRA,info/expectations.md,,,,
Requirements for win-win,TRUE,Tips & tricks for success,Module 2,0,2,3,EXTRA,info/requirements-m2.md,,,,
Time distribution,TRUE,Tips & tricks for success,Module 3,0,3,0,EXTRA,info/pt-time-dist-m3.md,,,,
Module 3 - topics - overview,TRUE,Tips & tricks for success,Module 3,0,3,1,EXTRA,info/topics-m3.md,,,,
Expectations,TRUE,Tips & tricks for success,Module 3,0,3,2,EXTRA,info/expectations.md,,,,
Requirements for win-win,TRUE,Tips & tricks for success,Module 3,0,3,3,EXTRA,info/requirements-m3.md,,,,
Welcome to Ironhack,TRUE,Week 1,Halfday 1,2,0,0,EXTRA,md/welcome-pt.md,,,,
JS | JavaScript Intro,TRUE,Week 1,Halfday 1,1,0,1,,module-1/week-1/js-intro.md,,,,
JS | Data Types in JavaScript - number & string,TRUE,Week 1,Halfday 1,1,0,2,,module-1/week-1/js-datatypes-1.md,,,,
Replay,FALSE,Week 1,Halfday 1,1,0,3,EXTRA,md/replay-w1h1.md,,,,
JS | Numbers as Data Types - Advanced Topics,TRUE,Week 1,Halfday 1,1,0,4,SELF_GUIDED,module-1/week-1/numbers-advanced.md,,,,
"JS | Data Types in JavaScript - boolean, undefined & null and Immutability",TRUE,Week 1,Halfday 2,1,1,0,,module-1/week-1/js-datatypes-2.md,,,,
JS | Conditionals and Loops,TRUE,Week 1,Halfday 2,1,1,1,,module-1/week-1/js-conditionals-loops.md,,,,
VCS | Git Intro,TRUE,Week 1,Halfday 2,1,1,2,,module-1/week-1/self-guided/git-intro.md,,,,
Pair Programming Introduction,TRUE,Week 1,Halfday 2,1,1,3,,module-1/week-1/self-guided/pair-programming.md,,,,
Collaborate on a LAB,TRUE,Week 1,Halfday 2,1,1,4,SELF_GUIDED,md/collaborate-on-lab.md,,,,
LAB | JavaScript Basic Algorithms,TRUE,Week 1,Halfday 2,1,1,5,LAB,module-1/labs/lab-javascript-basic-algorithms.md,basic-algorithms,lab-javascript-basic-algorithms,Submit the url to your work here.,
JS | Functions Intro,TRUE,Week 1,Halfday 3,1,2,0,,module-1/week-1/js-functions-intro.md,,,,
JS | Data Types in JavaScript - Arrays,TRUE,Week 1,Halfday 3,1,2,1,,module-1/week-1/js-arrays.md,,,,
LAB | JavaScript Functions and Arrays,TRUE,Week 1,Halfday 3,1,2,3,LAB,module-1/labs/lab-javascript-functions-and-arrays.md,,,,
Replay,FALSE,Week 1,Halfday 3,1,2,4,EXTRA,md/replay-w1h3.md,,,,
HTML | Introduction,TRUE,Week 1,Halfday 4,1,3,0,,module-1/week-1/html-intro.md,,,,
CSS | Intro & Selectors,TRUE,Week 1,Halfday 4,1,3,1,,module-1/week-1/css-intro.md,,,,
LAB | CSS Recipes clone,TRUE,Week 1,Halfday 4,1,3,2,LAB,module-1/labs/lab-css-recipes-clone.md,,,,
Replay,FALSE,Week 1,Halfday 4,1,3,3,EXTRA,md/replay-w1h4.md,,,,
CodeWars - Intro,TRUE,Week 1,Halfday 4,1,3,4,KATA,module-1/week-1/self-guided/codewars.md,,,,
Survey,TRUE,Week 2,Halfday 1,2,0,0,RITUALS,md/survey.md,,,,
LAB Review | JavaScript Basic Algorithms ,FALSE,Week 2,Halfday 1,2,0,1,RITUALS,md/labreview-javascript-basic-algorithms.md,,,,
JS | Data Types in JavaScript - Objects,TRUE,Week 2,Halfday 1,2,0,2,,module-1/week-1/js-objects.md,,,,
JS | Arrays & Objects,TRUE,Week 2,Halfday 1,2,0,3,,module-1/week-1/js-objects-arrays.md,,,,
LAB | JavaScript Clue,TRUE,Week 2,Halfday 1,2,0,4,LAB,module-1/labs/lab-javascript-clue.md,,,,
Replay,FALSE,Week 2,Halfday 1,2,0,5,EXTRA,md/replay-w2h1.md,,,,
Katas,TRUE,Week 2,Halfday 1,2,0,6,KATA,md/kata-01.md,,,,
LAB Review | JavaScript Functions and Arrays,FALSE,Week 2,Halfday 2,2,1,0,RITUALS,md/labreview-javascript-functions-and-arrays.md,,,,
CSS | Advanced Selectors,TRUE,Week 2,Halfday 2,2,1,1,,module-1/week-1/css-advanced-selectors.md,,,,
CSS | Transitions & Animations,TRUE,Week 2,Halfday 2,2,1,2,,module-1/week-1/css-transitions-animations.md,,,,
LAB | CSS Spotify clone,TRUE,Week 2,Halfday 2,2,1,3,LAB,module-1/labs/lab-css-spotify-clone.md,,,,
Replay,FALSE,Week 2,Halfday 2,2,1,4,EXTRA,md/replay-w2h2.md,,,,
CodeWars,FALSE,Week 2,Halfday 3,2,2,0,KATA,module-1/week-1/self-guided/codewars.md,,,,
LAB Review | CSS Recipes clone,FALSE,Week 2,Halfday 3,2,2,1,RITUALS,md/labreview-css-recipes-clone.md,,,,
JS | Functions Advanced,TRUE,Week 2,Halfday 3,2,2,2,,module-1/week-1/js-functions-advanced.md,,,,
"JS | Arrays - Map, Reduce & Filter",TRUE,Week 2,Halfday 3,2,2,3,,module-1/week-1/js-arrays-filter-map-reduce.md,,,,
Replay,FALSE,Week 2,Halfday 3,2,2,4,EXTRA,md/replay-w2h3.md,,,,
JS | Arrays - Sort & Reverse,TRUE,Week 2,Halfday 4,2,3,0,,module-1/week-1/js-arrays-sort-reverse.md,,,,
LAB | Greatest movies of all time,TRUE,Week 2,Halfday 4,2,3,1,LAB,module-1/labs/lab-javascript-greatest-movies.md,,,,
Replay,FALSE,Week 2,Halfday 4,2,3,2,EXTRA,md/replay-w2h4.md,,,,
JS | Value vs Reference and Mutable Data Types,TRUE,Week 2,Halfday 4,2,3,3,SELF_GUIDED,module-1/week-1/value-reference-mutability.md,,,,
Survey,TRUE,Week 3,Halfday 1,3,0,0,RITUALS,md/survey.md,,,,
Keyboard Tips and Tricks,TRUE,Week 3,Halfday 1,3,0,1,EXTRA,md/keyboard.md,,,,
LAB Review | JavaScript Clue,FALSE,Week 3,Halfday 1,3,0,2,RITUALS,md/labreview-javascript-clue.md,,,,
"JS | OOP - objects, methods and the 'this' keyword",TRUE,Week 3,Halfday 1,3,0,3,,module-1/week-1/js-oop-1.md,,,,
